en	hi	pos
revelry	आमोदप्रमोद	N
revenge	प्रतिशोध	N
revenge	प्रतिशोधलेना	VT
revenue	कर	N
reverberate	गूंजना	VTI
reverberation	गूँज	N
revere	आदरकरना	VT
reverence	आदर	N
reverend	आदरणीय	Adj
reverent	भक्तियुक्त	Adj
reverently	आदरसे	Adv
reverie	दिवास्वप्न	N
revers	वस्त्र का उल्टा भाग	N
reversal	परिवर्तन	N
reverse	उलटना	VT
reverse	विपरीत	N
reverse	उल्टी	Adj
reversible	पलटवाँ	Adj
reversion	लौटना	N
revert	फिरलौटआना	VTI
revet	पलस्तर लगाना	VT
review	परखना	VT
review	पुनरवलोकन	N
reviewer	समीक्षक	N
revile	गालीदेना	VT
revise	दुहराना	VT
revision	पुनःअवलोकन	N
revisit	फिरभेँटकरना	VT
revival	पुनरुत्थान	N
revive	फिरजीवितकरना	VTI
revocation	खण्डन करना	N
revoke	मिटादेना	VTI
revolt	बग़ावत	N
revolt	राजद्रोहीहोना; घृणाउत्पन्नकरना[होना]	VTI
revolution	क्रांति; नक्षत्रकापरिभ्रमण; महत्वपूर्णपरिवर्तन; पूराचक्कर; परिभ्रमण	N
revolutionary	क्रान्तिकारी	Adj
revolutionary	क्रान्तिकारीमनुष्य	N
revolve	घूमना	VTI
revolving	परिक्रमी	Adj
revolver	पिस्तौल{जिसमेँकईनलीहोँ}	N
revue	समसामयिकप्रहसन	N
revulsion	आकस्मिकभावपरिवर्तन	N
reward	पारितोषिक	N
reward	पारितोषिकदेना	VT
rewarding	लाभप्रद	Adj
rewind	लपेटना	V
rewire	बिजलीकेनयेतारलगाना	V
rework	पुनःकार्यकरना{भिन्नतालानेकेलिये}	V
rewrite	फिरलिखना	VT
rhapsody	अत्यंतप्रशंसा	N
rhetoric	व्याख्यानविद्या	N
rheumatic	वातरोगग्रस्त	Adj
rheumatism	गठिया	N
rhinoceros	गेंडा	N
rhizome	प्रकन्द	N
rhombus	समचर्तुभुज	N
rhomboid	समान्तरअसमचतुर्भुज	N
rhubarb	रेवाचीनी	N
rhyme	तुकबंदी	N
rhyme	तुकबंदीकरना	V
rhythm	ताल	N
rhythmical	तालबद्ध	Adj
rib	पसलीकीहड्डी; पत्तीकीनस	N
rib	तंगकरना; मजाक बनाना; पसलीचढाना; जोड़ना	VT
ribbon	फीता; पोशाक मे लगे छोटे-छोटे फीते{ओहदे का आभास हो}	N
rice	चावल	N
rice paper	राइस पेपर{पतलाखानेयोग्य}	N
rich	सम्पन्न; प्रचुर; गरिष्ट; शानदार; भड़कीला	Adj
riches	दौलत	N
richly	बहुतायतसे	Adv
richness	धनाढ्यता	N
richer scale	तीव्र माप का	N
rick	ढेर	N
rick	दर्द{ जोड़ों का}	V
rickets	सूखा रोग	N
rickety	डाँवाँडोल	Adj
rickshaw	रिक्शा	N
ricochet	गोलीकाटकराकरलौटना	N
ricochet	वस्तु का टकराकर वापस लौटना	V
rid	मुक्तकरना	VT
ridden	सेपूर्ण	Adj
riddle	पहेली	N
riddle	बहुतसेछेदकरना	V
ride	सैर{घोड़ेयागाड़ीपरसवारहोकरसैर}	N
ride	सवारीकरना	VTI
rider	सवार	N
ridge	ढालूटीला{यापहाड़ी}	N
ridge	मेड़ बनाना	V
ridicule	उपहास	N
ridicule	उपहासकरना	VT
ridiculous	हास्यास्पद	Adj
riding	सवारी	N
rife	प्रचलित	Adj
riffraff	निन्द्य लोग	N
rifle	एकप्रकारकीबन्दूक	N
rifle	छीनलेना	VT
rift	दरार	N
rig	विशेषउपकरण	N
rig	उपकरणसेलेसकरना; चालाकी से संचालित करना	VT
rigging	जहाज़कीरस्सी	N
right	दाँया; सही	Adj
right	ठीक; तुरन्त	Adv
right	अधिकार; सही	N
righteous	सच्चा	Adj
righteousness	नेकी	N
rightful	अधिकारी	Adj
rigid	कड़ा	Adj
rigidity	कठोरता	N
rigmarole	अनाप-शनाप	N
rigor mortis	मरने के बाद शरीर का कड़ापन	N
rigorous	कड़ी	Adj
rigour	कड़ाई; कठिनाई	N
rim	किनारा	N
rim	किनारालगाना	VT
rind	चमड़ा; छिलका	N
ring	अँगूठी; छल्ला{चाभी; नेपकिन का}; घेरा; मंडल; चक्र	N
ring	बजना{घण्टियोँका}	VI
ring	बजाना{घण्टीँका}	VT
ring-leader	सरगना	N
ringleader	सरग़ना	N
ringworm	दाद	N
rink	बर्फ का मैदान	N
rinse	खंगालना	VT
rinse	धुलाई	N
riot	दंगा	N
riot	दंगाकरना	VT
rioter	दंगाकरनेवाला	N
riotous	राजद्रोही	Adj
rip	चीरा	N
rip	फाड़ना	V
ripe	पकाहुआ	Adj
ripen	पकना	VI
ripen	पकाना	VT
ripeness	प्रौढ़ता	N
ripple	छोटीतरंग	N
ripple	लहराना	VTI
rise	उठना; उदित होना; जी उठना; बढना; तीव्र होना; प्रसन्न हो जाना; उन्नति करना	VI
riser	उठनेवाला	N
rising	उन्नतिशील	Adj
rising	विद्रोह; उत्थान	N
risk	ख़तरा	N
risk	जोखिमउठाना	VT
risky	ख़तरनाक	Adj
rite	रीति	N
ritual	रस्मसंबंधी	Adj
ritual	क्रियापद्धति	N
rival	प्रतियोगी	N
rival	बराबरीकरना	VT
rivalry	बराबरी	N
riven	चीरना	VTI
river	नदी	N
river-bed	नदीकातला	N
riverside	नदी-किनारा	N
rivet	रिबेट	N
rivet	खूँटीसेजड़ना; आकृष्ट करना	VT
roach	एकप्रकारकीमछली	N
road	सड़क	N
roadie	?	N
road-house	पब	N
road sense	मार्ग-बोध	N
road tax	मार्ग कर	N
roadblock	मार्ग-रोक	N
roam	घूमना-फिरना	VI
roar	दहाड़	N
roar	दहाड़ना; घड़घड़ाना	VI
roast	भुनीहुईवस्तु	N
roast	भूनना; छिद्रान्वेषण करना	VT
rob	लूटना; छीनना	VT
robber	डाकू	N
robbery	डकैती	N
robe	जामा	N
robe	सभावस्त्रधारणकरना	VT
robin	रॉबिन{एकप्रकारकापक्षीजिसकीछातीलालहोतीहै}	N
robot	यंत्रवत काम करनेवाला	N
robust	मज़बूत	Adj
rock	चट्टान	N
rock-bottom	निम्नतम	N
rock	हिलना; हिलजाना{देना}	VTI
rocker	पालनायाहिंडोला	N
rockery	पत्थरों के बीचमे पौधे	N
rocket	बाण-हवाई	N
rocket	अचानक बहुत बढना	V
rocky	पथरीला	Adj
rococo	अधिक अलंकृत	Adj
rod	छड़	N
rodent	चूहागिलहरीआदिकतरनेवालेजानवर	N
rodeo	?	N
roe	एकप्रकारकाहिरन	N
roebuck	नरहिरन	N
rogue	आवारा; अड़ियल जानवर{घोड़ा; हाथी}	N
roll	गोला; सूची; गड़गड़ाहट	N
roll	घूमा; लुढकना; लपेटना; घुमाना; धीमे चलना; बेलना	VTI
roller	बेलन	N
roll bar	धातु की छड़	N
roll call	हाज़िरी	N
roll of honour	उपाधि प्राप्तकर्ताओ की सूची	N
roll-top desk	खुलने वाला डेस्क	N
rolled oats	जई की खली	N
rolling drunk	धुत्त पियक्ड़	Adj
rolling-pin	बेलन	N
rolling-stock	छोटी गाड़ी{पटरी पर चलने वाली}	N
rolling stone	बिन पेंदी का लोटा	N
roll on	रोल-ओन{डिओडारेन्ट}	N
roller-coaster	रोलरकोस्टर{बच्चों की पटरी पर ऊपर नीचे चलने वाली गाड़ी}	N
roller skate	पहिये का जूता	N
rollick	बेपरवाहीसेघूम	VI
roly-poly	पुडिंग	N
roly-poly	गोल-मटोल	Adj
roman	रोमवासी	Adj
roman	रोमवासी	N
romance	प्रेमकहानी; रोमांच	N
romantic	कल्पित; रोमानी	Adj
romp	उछलकूद; मजेदारफिल्म[कथा; पुस्तक]	N
romp	उछलकूदकरना	VI
roof	छत	N
roof	छतपाटना	VT
rook	कौवाजैसापक्षी	N
rook	ठगना	VTI
rookie	अनाड़ी	N
room	कमरा; स्थान; कमरेमेबैठैलोग	N
roomy	जगहदार	Adj
room-mate	साथी	N
room service	रूम सर्विस	N
roost	अड्डा{पक्षियोँका}	N
roost	अड्डेपरबैठना{पक्षीकीतरह}	VI
rooster	मुर्गा	N
root	जड़; वर्गमूल; धातु{क्रिया}	N
root	जड़पकड़ना	VI
root	स्थापितकर	VT
rope	रस्सी	N
rope	रस्सी सेबाँधना{बँधना}	V
ropy	बेकार	Adj
rosary	जपमाला; गुला०बकाबाग़	N
rose	गुलाबकाफूलयापौधा	N
rose-water	गुलाब-जल	N
rosette	रंग-बिरंगे रिबनों का बना बिल्ला	N
rose-wood	शीशम	N
roster	कामकरनेवालोँकीनामावली	N
rostrum	मंच; चोँच	N
rosy	गुलाबी	Adj
rot	सड़ना	VTI
rotary	घूर्णी	Adj
rotate	घूमना	VTI
rotation	चक्कर	N
rote	रटना	N
rotten	सड़ाहुआ; खराब	Adj
rotter	निर्दयी; नीच	N
rotund	गोल	Adj
rotunda	गोल-घर	N
rouble	रूसदेशकीमुद्रा	N
rouge	लाली{प्रकारकालालरंगजोचेहरेयाओठोँपरलगातेहैँ}	N
rouge	लालीलगाना	VT
rough	खुरदरा; तूफानी; कच्चा; कठिनाईभरा; रूखा; अशान्त	Adj
rough	कठिनाईसहना	VT
roughly	लगभग; असावधानीसे; अशिष्टतासे	Adv
roughness	खुरदरापन	N
roulette	एकप्रकारकाखेल	N
round	गोल	Adj
round	वृत्त; दौर; पारी; बारी; घेरा; बौछार; फेरा	N
round	गोलबनाना	VTI
roundabout	गोलमोल	Adj
round-table	गोल सभा	Adj
roundel	गोलाकार फलक; चित्र	N
roundsman	फेरीवाला	N
roundworm	केंचुआ; गोलकृमि	N
rouse	जागना; उत्तेजितकर	V
rousing	शानदार	Adj
roustabout	मज़दूर	N
rout	भगदड़	N
rout	हरा देना	VT
route	मार्ग	N
routine	नित्यकानियम	N
routinely	नियमितरूपसे	Adv
rove	घूमना	VI
rover	घूमनेवाला	N
row	झगड़ा; पंक्ति	N
row	खेना; झगड़ना	VT
rowlock	चप्पू-कुण्डा	N
rowdy	झगड़ालू	Adj
rowdy	झगड़ालूव्यक्ति	N
royal	शाही	Adj
royalist	राजभक्त	N
royal	शाहीखानदानकाव्यक्ति	N
royalty	ग्रन्थकारकाप्राप्यअंश	N
rub	रगड़	N
rub	रगड़ना; घिसना	VI
rub	रगड़; मलना; घिसना; मिटाना	VT
rub the wrong way	चिढ़ाना	IDM
rubber	रबर	N
rubber plant	रबर का पेड़	N
rubber stamp	रबर की मोहर	N
rubbish	कूड़ा-करकट; अनापशनाप	N
rubble	छोटेअनगढ़ेपत्थर	N
rubella	जर्मन खसरा	N
ruby	सुर्ख	Adj
ruby	लालमणि	N
ruck	जनसाधारण	N
ruck	शिकन; सिलवट पड़ना	V
rucksack	कंधे पर पहनने वाला झोला	N
rudder	पतवार	N
ruddy	सुर्ख	Adj
rude	अशिष्ट	Adj
rudeness	अशिष्टता	N
rudimentary	प्रारम्भिक	Adj
rudely	अशिष्ट व्यवहार	Adv
rue	ब्राह्मी	N
rue	विलापकर	VTI
rueful	उदास	Adj
ruefully	अफ़सोसकेसाथ	Adv
ruff	रंगबिरंगेपंख	N
ruffian	बदमाश	N
ruffle	झालर; खलबलीमचाना	N
rug	कम्बल	N
rugged	ऊँचा-नीचा; ऊबड़खाबड़; सख्त; मज़बूत	Adj
ruin	खण्डहर; पतन	N
ruin	नष्टकर	VT
ruinous	नाशक	Adj
rule	शासन; नियम; फुट्टा{पैमाना}	N
rule	निर्णयकर	VI
ruler	शासक	N
ruling	प्रबल	Adj
ruling	न्यायालयकानिर्णय	N
rum	गुड़कीशराब	N
rumble	घड़घड़ाहट	N
rumble	घड़घड़ाना	VI
rummage	खोज	N
rummage	खूबतलाशकर	VI
rummy	ताश का खेल	N
rumour	चर्चा; गप	N
rumour	गपउड़ाना	VT
rump	पुट्ठा	N
rumpus	उपद्रव	N
rumple	सिकुड़न	N
rumple	सिकुड़ना	VT
run	दौड़; सैर; मार्ग; लम्बादौर; माँग; बाड़ा; ट्रैक; रन; ?	N
run	दौड़ना; दौड़ाना; चलना; लेजाना; जाना; चालूकरना	VI
runaway	भगोड़ा; तेज़जानेवाला	N
runnel	नाला	N
rung	सीढ़ीकाडंडा	N
runner	दौड़नेवाला	N
runny	बहता हुआ	Adj
runt	नाटा; कमजोर	N
runway	दौड़-पथ	N
running	लगातार; एककेबादएक	Adj
rupee	रूपया	N
rupture	दरार	N
rupture	फटना	VI
rural	देहाती	Adj
ruse	छल; चाल; धोखा	N
rush	भीड़; हड़बड़ी; जल्दीमें; बढ़तीमाँग	N
rush	जल्दबाज़ीकरना	VI
rusk	रस्क{सूखीडबलरोटी}	N
russet	लालीलियेहुयेभूरेरंगका	Adj
rust	ज़ंग	N
rust	ज़ंगलग	VTI
rustic	गँवार	Adj
rustle	झड़झड़ाहट	N
rustle	झड़झड़ा	VI
rusty	जंगलगाहुआ	Adj
rut	पहियेकीलकीर	N
ruth	दया	N
ruthless	निर्दयी	Adj
rye	राई{एकप्रकारकाअनाज}	N
sabbath	विश्रामदिवस	N
sabbatical	विश्रामदिवस सम्बन्धी	N
sable	सेबल{नेवलेकीजातिकाएकपशु}	N
sabotage	बिगाड़ना	V
sabotage	ध्वंसन	N
sabre	तलवार	N
sabre-rating	किसी को धमकी देकर ड़राना	N
sac	थैली; कोश	N
saccharine	शर्करीय; सुमधुर	Adj
sacerdotal	पुरोहिती; याजकीय	Adj
sachet	पुटक; थैली	N
sack	बोरा; बोरी; लूटपाट	N
sack	निकाल देना; लूटना	V
sackcloth and ashes	टाट ओढ़े और भस्म रमाए	IDM
sacrament	संस्कार; परमसंस्कार; परमप्रसाद	N
sacramental	सांस्कारिक	Adj
sacred	पवित्र	Adj
sacrifice	बलिदान; त्याग	N
sacrificial	यज्ञ-; बलि-	Adj
sacrilege	अपवित्रीकरण	N
sacrilegious	धर्मविरोधी	Adj
sacristan	गिरज़ादार	N
sacristy	पूजा सामग्री कक्ष	N
sad	उदास; बहुत बुरा	Adj
sadden	दुःखी बनना	V
sadly	दुर्भाग्यवश से; बुरी तरह से; उदासी से	Adv
sadness	विषाद	N
saddle	जीन; गद्दी; आसन; सीट; पीठ का पारचा	N
saddler	ज़ीनसाज़	N
saddlery	घोड़े का साज़ सामान; ज़ीनसाज़ी	N
sado-masochism	दर्ददेकरखुशीपाना	N
safari	शिकार	N
safe	सुरक्षित; सही-सलामत; सकुशल; विश्वसनीय	Adj
safe-conduct	अभयपत्र	N
safeguard	रक्षोपाय; रक्षक	N
safeguard	सुरक्षित करना; बचाना	V
safe keeping	सुरक्षा	N
safely	सलामती से; कुशलपूर्वक; निश्चित रूप से	Adv
saffron	केसरिया	Adj
sage	कपूर का पत्ता	N
saga	आख्यान	N
sagittarius	धनु	N
sail	जलयात्रा करना; रवाना होना; पार करना	V
sailing	जलयात्रा	N
sailboard	सेलबोर्ड	N
sailboat	पाल-नाव	N
sailcloth	जहाज़ के लिए प्रयुक्त होने वाला मोटा कपड़ा	N
sailor	नाविक; मल्लाह	N
saint	साधु; सन्त	N
sainted	साधु; सन्त	Adj
sainthood	साधुता	N
saintly	सन्तसुलभ	Adv
saintliness	साधुता	N
saint's day	साधु-दिवस	N
sake	केलिये; साके{चावलों की बनी जापानी शराब}	N
salacious	अश्लील	Adj
salad	सलाद	N
salad-cream	सलाद क्रीम	N
salad-dressing	सलाद का सजाव	N
salamander	समन्दर; सैलामैण्डर	N
salami	मसालेदार लंगोचा	N
salary	वेतन; तनखाह	N
salaried	वेतन सम्बन्धी	Adj
sale	बिक्री	N
sales clerk	दुकानपरकामकरनेवाला	N
saleable	बेचने योग्य	Adj
saleroom	नीलाम-घर	N
salesman	विक्रेता; विक्रयिक	N
salesperson	विक्रेता	N
saleswoman	विक्रेत्री	N
salient	मुख्य	Adj
salient	बहिर्गत	N
saline	लवणीय	Adj
saliva	लार; लालाजल	N
sallow	पीला	Adj
sallow	बेदमजनूं	N
sally	निकलना	V
sally	धावा	N
salmon	सामन; मृदुपक्षा	N
salmonella	कीटाणु जो फूड़ को जहरीली बनादे	N
salon	नाई की दूकान	N
saloon	मदिरालय	N
salsa	चटनी	N
salsify	विलायती कचालू	N
salt	नमक	N
salt-cellar	नमक-दान	N
salt-water	नमक का पानी	Adj
salt-petre	शोरा	N
salubrious	स्वास्थ्यवर्धक	Adj
salutary	हितकारी; अच्छा प्रभाव	Adj
salutation	अभिवादन; सम्बोधन	N
salute	नमस्कार; अभिवादन; सलामी	N
salute	अभिवादन करना	V
salvage	उबार; भ्रंशोद्धार	N
salvage	उबारना; बचाना	V
salvation	मुक्ति	N
salvation army	मुक्ति-सेना	N
salve	मरहम	N
salve	शान्त करना	V
salver	थाली	N
salvo	तोपोंकाबोलना	N
salvolatile	ऐमोनियम कार्बोनेट	N
samaritan	समारी; फोन पर मिलने वाली सहायता	N
samba	नृत्य का एक प्रकार	N
same	समान; सदृश	Adj
the same	समान रूप से	Adv
same	वही	Pron
sameness	समानता	N
samosa	समोसा	N
samover	समोवार	N
sampan	साम्पन	N
sample	नमूना	N
sample	नमूना बनाना या लेना	V
sampler	नमूने जानने वाला	N
samurai	जापान की मिलिटरी; जापान की मिलिटरी का सदस्य	N
sanatorium	स्वास्थ्यालय	N
sanctify	पवित्र करना	V
sanctimonious	पाखंडी	Adj
sanctimoniously	ढोंग रचते हुए	Adv
sanction	मंज़ूरी; दण्डविधान	N
sanction	मंज़ूर करना	V
sanctity	पवित्रता	N
sanctuary	पुण्यस्थान; शरणस्थान; मृगवन	N
sanctity	पवित्रता	N
sanctum	निजी कमरा; परमपावन मन्दिरगर्भ	N
sand	रेत; सिकता; बालू-तट	N
sander	घिसाई करने वाला	N
sandy	रेतीला	Adj
sandbar	बालू-भित्ति	N
sanddunes	रेत का टीला	N
sandal	चप्पल	N
sandalled	चप्पल पहिना हुआ	Adj
sandalwood	चंदन	N
sandbag	बालू-थैली	N
sandbag	बालू-थैली लगाना	V
sandbank	रेती; सैकत	N
sandblast	रेत का झोंका	N
sandblast	रेत का झोंका मारना	V
sandbox	बालूदानी	N
sandcastle	रेती से बना हुआ किला	N
sandfly	मरु-मक्षिका	N
sandman	सैंडमेन{एक कल्पित आदमी}	N
sandpaper	रगड़ना{रेगमाल से}	V
sandpaper	रेगमाल	N
sandpiper	टिटिहरी	N
sandpit	बालू का गड्ढा	N
sandstone	बलुआ-पत्थर; बालुकाश्म	N
sandstorm	रेतीली आँधी; रेतीला तूफ़ान	N
sandwich	सैंडविच	N
sandwich	बीच में रखना{दोपाटोंके}	V
sandwich-board	सैंडविच बोर्ड	N
sandwich course	एक साथ किए जाने वाले दो शैक्षिक पाठ्यक्रम	N
sane	स्वस्थचित्त; समझदार	Adj
sang	गाया	V
sang-froid	आत्मसंयम; धैर्य	N
sangria	मद्य	N
sanguinary	रक्तपातपूर्ण; रक्तपिपासु	Adj
sanguine	आशावादी	Adj
sanitarium	आरोग्य-निवास	N
sanitorium	आरोग्य-निवास	N
sanitary	स्वच्छता-विषयक	Adj
sanitation	स्वास्थ्य-रक्षा	N
sanitize	साफ़ सुथरा बनाना	V
sanity	स्वस्थचित्तता; विवेक	N
sank	ड़ूबा	V
sanserif	सादा	N
santa clause	सैंटाक्लोज़	PropN
sap	रस; सार; मूर्ख	N
sap	अशक्त या दुर्बल होना	V
sapient	प्रज्ञ	Adj
sapling	बालवृक्ष; छोटा पौधा	N
sapper	खंदक खोदने वाला सैनिक	N
sapphire	नीलमणि	N
sapwood	रसदारु	N
saracen	?	N
sarcasm	व्यंग्योक्ति	N
sarcastic	व्यंग्यात्मक	Adj
sarcophagus	शवपेटिका; ताबूत	N
sardine	सार्डीन मछली	N
sardonic	कटुतापूर्ण; निन्दापूर्ण	Adj
sarge	सेनाधिकारी	N
sari	साड़ी	N
sarky	व्यंग्यात्मक	Adj
sarong	लुंगी	N
sartorial	सिलाई संबंधी	Adj
sas	उच्च शिक्षित सिपाहियों का समूह	Abbr:Special Air Service
sash	दुपट्टा; कमरबन्द; गज़	N
sashcord	सेश	N
sash-window	खिड़कीकाचौखट	N
sashay	?	V
sass	उद्धतता	N
sassenach	अंग्रेज	N
satanism	शैतानी; शैतान-पूजा	N
satchel	बस्ता	N
satellite	उपग्रह; अधीन राज्य	N
satiety	तृप्ति	N
satiate	परितृप्त करना	V
satin	साटन	N
satin	चिकना	Adj
satiny	चमकीला	Adj
satire	व्यंग्य; प्रहसन	N
satirical	उपहासात्मक; व्यंग्यात्मक	Adj
satirist	व्यंग्यकार	N
satirize	का उपहास करना; की निन्दा करना	V
satisfaction	सन्तोषण	N
satisfactory	सन्तोषजनक	Adj
satisfy	सन्तुष्ट करना; पूरा करना; सन्देह दूर करना	V
satisfied	संतुष्ट	Adj
satsuma	सन्तरा	N
saturate	गीला कर देना; भरा होना	V
saturated	तर-बतर	Adj
saturated	संतृप्त किया हुआ	Adj
saturation	संतृप्त	N
saturday	शनिवार	N
saturn	शनि{ग्रह}	N
saturnine	उदास	Adj
satyr	वनदेवता	N
sauce	चटनी; रूखा व्यवहार	N
saucy	ध्रृष्ट	Adj
sauce boat	चटनी पात्र	N
saucepan	ढेगची	N
saucer	तश्तरी	N
saverkrant	बंदगोबी की आचार	N
sauna	वाष्प स्नान	N
saunter	चहलना	V
saunter	चहलकडमी	N
sausage	कबाब	N
saute	तला हुआ	Adj
savage	जंगली; निष्ठुर; वन्य	Adj
savagely	जंगलीपन से	Adv
savagery	जंगलीपन	N
savannah (also savanna)	घास का मैदान	N
savant	विद्वान	N
save	बचालेना[देना]	V
saving	बचाव	Adj
savings bank	बचत बैंक	N
saviour	रक्षक	N
savoir faire	व्यवहार कुशलता	N
savoury	स्वादिष्ट	Adj
savour	पसन्द करना	V
savour	स्वाद	N
savoy	एक तरह का बन्द गोबी	N
saw	देखा	V
saw	आरा चलाना	V
saw	आरा	N
sawdust	बुरादा	N
sawmill	आरा मशीन	N
sax	सैक्साफोन{एक तरह का बाज़ा}	N
saxifrage	एक छोटासा भिन्न रंगों वाली पौधा	N
saxon	सैक्सन्	N
saxon	सैक्सन् संबन्धी	Adj
saxaphone	सैक्साफोन{एक तरह का बाज़ा}	N
saxaphonist	?	N
say	कहना	V
scab	खुरण्ड; पामा; हड़ताल भेदी	N
scabby	पपड़ीदार	Adj
scabbard	म्यान	N
scabies	खुजली	N
scabious	खरसैला	N
scabrous	खुरदारा; अश्लील	Adj
scads	ढ़ेरसारे	N
scaffold	फाँसी का तख्ता; पाड़	N
scaffolding	मंच	N
scaler	अदिश	N
scalawag	दुर्जन; बदमाश	N
scald	जलाना{गरम पानी से}; गरम करना; उबालना	V
scald	जला; द्रवदाह	N
scalding	गर्म{उबला जैसा}	Adj
scale	छिलका; पपड़ी; कीट; माप; मापक्रम; मानदण्ड; स्वरग्राम; पैमाना	N
scale	छिलका या परत उतारना	V
scale down	कम करना	V
scale up	बड़ाना	V
scally	पपड़िला	Adj
scallion	प्याज़	N
scallop	घोंघा	N
scallywag	दुर्जन; बदमाश	N
scalp	सिर की खाल	N
scalp	सिर की खाल् उतारना	V
scalpel	क्षुरिका	N
scam	घोटाल	N
scamp	बदमाश	N
scamper	दौड़ जाना	V
scampi	एक तरह का झींगा	N
scan	पर्यवेक्षण करना	V
scandal	अनैतिक आचरण	N
scandalize	दुखी करना	V
scandalous	अवमानित	Adj
scandalmongers	चुगलखोर	N
scansion	पर्यवेक्षण करना	V
scant	अपर्याप्त	Adj
scanty	अल्प	Adj
scape	दृश्य	N
scapegoat	बलि का बकरा	N
scapula	स्कन्धास्थि	N
scar	क्षतचिह्न	N
scarce	दुर्लभ	Adj
scarcity	अभाव; कमी	N
scarcely	मुशकिल से	Adv
scare	डरना[डराना}	V
scare	डर	N
scared	डराहुआ	Adj
scary	डरावना	Adj
screcrow	बिजूखा	N
scarf	स्कार्फ	N
scarlet	सिंदूरीलाल	Adj
scarp	ढाल	N
scarper	भाग जाना	V
scathing	कटु	Adj
scathingly	कटुतापूर्वक	Adv
scatter	तितर-बितर करना	V
scatterbrain	अविवेकी	N
scatterbrained	अविवेकी	Adj
scatty	पगला	Adj
scavenge	सफ़ाई करना	V
scenenario	दृश्य लेख	N
scene	घटनास्थल; घटना; तमाशा; दृश्य	N
scenery	प्राकृतिक दृश्य; मंच सज्जा	N
scenic	प्राकृतिक	Adj
scent	गन्ध; अतर; खोज	N
scent	सूँघना; भाँपना; सुगन्धित करना	V
sceptre	राजदण्ड	N
sceptic	अविश्वासी	N
sceptical	अविश्वासी; संशयात्मा	Adj
scepticism	अविश्वास	N
schedule	कार्यक्रम; सूची	N
scheduled	परिगणित	V
schema	रूपरेखा	N
schematic	योजना बद्ध; पद्धति	Adj
scheme	योजना बनाना	V
scherzo	?	N
schism	फूट; विच्छेद	N
schismatic	विच्छिन्न; विच्छेदकारी	Adj
schizoid	?	Adj
schizophrenia	?	N
schizophrenic	?	Adj
schlepp	?	V
schlock	रद्दी माल	N
schmaltz	?	N
schmo	मूर्ख	N
schnapps	एक तरह का नशीली पदार्थ	N
scholor	वृत्ति छात्र; विद्वान	N
scholorship	छात्र वृत्ति	N
school	विद्यालय; शिक्षा; शाखा	N
school	प्रशिक्षित करना	V
schooling	प्रशिक्षण	N
schoolage	शिक्षा काल	N
schooldays	विद्यार्थि जीवन	N
school friend	सह विद्यार्थि	N
school leaver	प्रशिक्षित विद्यार्थि	N
school boy	स्कूली लड़का	N
school child	स्कूली बच्चा	N
school fellow	सहपाठी	N
school girl	स्कूली लड़की	N
school house	विद्यालय भवन	N
school master	अध्यापक	N
school mate	सहपाठी	N
school teacher	शिक्षक	N
schooner	स्कूनर	N
schwa	अकाह्स्वरूप	N
sciatic	नितंब संबन्धी	Adj
science	विज्ञान	N
scientific	वैज्ञानिक	Adj
science fiction	काल्पनिक विज्ञान	N
science park	वैज्ञानिक प्रयोगशाला	N
scientist	वैज्ञानिक	N
scimitar	शंशेरी	N
scintilla	लवलेश	N
scintillating	लघुरूप	Adj
scion	वंशज	N
scissors	कैँची	N
sclerosis	काठिन्य	N
sclerotic	कठिन	Adj
scoff	उपहास करना	V
scold	डाँटना	V
scolding	डाँट; झड़की	N
scone	केक	N
scoop	कलछी; हतथा; अनूठी खबर; तगड़ा गूनाफा	N
scoot	शीघ्रपहुँचना	V
scooter	स्कूटर	N
scope	गुंजाइष; विस्तार	N
scarch	झुलसना; तेज़ गति से चलाना	V
scorcher	गरमी दिन; ज़ोरदार मार	N
scarching	अत्युष्ण	Adj
scarched earth policy	सर्व क्षार-नीति	N
scarchmark	खरोंचकेनिशान	N
score	प्राप्तांक; अंक; स्वरलिपि; संगीतलेख; कोड़ी; बीसी; खरोंच	N
scoreless	रनरहित	Adj
scoredraw	बराबरपारी	N
scoresheet	अंकसूची	N
score	अंक बनाना; अंक लिखाना; अंक पाना; विजयी होना; स्वरलिपि तैयार करना; खरोंचना	V
scorer	गणक; स्कोर बबनानेवाला	N
scoreboard	अंक फलक	N
scorn	से घृणा करना; तिरस्कार करना	V
scornful	घृणापूर्ण	Adj
scorpion	बिच्छू; वृशिचिक	N
scot	कर; स्काटलैंड् वासी	N
scotch	स्काटलैंड-संबंधी	Adj
scotch broth	अनाज़ और सब्जियों की रसा	N
scotch tape	फीता	N
scotch egg	तलाअंडा{गोश्तलगाहुआ}	N
scot free	बिना सजा के	Adv
scotland yard	लंदन पुलिस की मुख्य कार्यालय	N
scotsman	स्कॉटनिवासी	N
scotswoman	स्कॉटनिवासिनी	N
scottish	स्काटलैंड् की	Adj
scoundrel	बदमाश; दुष्ट	N
scour	माZजना; छान डालना	V
scourge	कोड़ा; लोक कंटक	N
scouse	लीवरपूलकीबोली	N
scouser	लीवरपूलनिवासी	N
scout	बालचर; गुप्तचर	N
scoutmaster	स्काउट् दल की नेता	N
scoul	तेवर	N
scrabble	टटोलना; खरोंचना	V
scraggy	दुबला-पतला	Adj
scram	धत	V
