ja	en	pos	common
ぐったり		adv, adv-to, vs	1	limply; wearily; listlessly; languidly; exhaustedly; unenergetically
ぐっと		adv	0	suddenly; at once; in one go; with a jerk; with a gulp; considerably; very much; a lot
ぐにゃぐにゃ		adj-na, adj-no, adv, adv-to	0	flabby; limp; soft and pliable
ぐぶぐぶ		adv, adv-to, vs	0	gurgling; sound of rinsing one's mouth
グラグラ		adv, adv-to, vs, adj-no	1	wobbling; tottering; shaking; unstably; unsteadily; wavering (e.g. over a decision); dithering; indecisively
ぐら付く	ぐらつく	v5k, vi	0	to be unsteady; to reel; to shake; to waver; to be unsettled (feelings, thoughts, etc.)
グル		n	0	accomplice; conspirator; cohort; guru
ぐるぐる		adv, adv-to	1	(turning) round and round; in circles; wrapping around; winding around
ぐれる		v1, vi	0	to stray from the right path; to go wrong; to go off the rails; to turn delinquent
ぐんぐん		adv, adv-to	0	rapidly; vigorously; by leaps and bounds; steadily
けじめ		n	1	distinction; difference (between two things); sense of propriety; proper conduct (according to social or moral norms); accountability; taking clear responsibility (for a fault or failing); boundary; dividing point
けたたましい		adj-i	0	piercing; shrill; noisy; loud; clamorous; wild
ケツの穴	けつのあな	exp, n	0	anus; asshole; arsehole
けど		conj, prt	1	but; however; although
けばけば		adv, adv-to, vs	0	gaudy; garish; showy
ケラケラ笑う	ケラケラわらう	v5u, vi	0	to cackle
げっそり		vs, adv-to, adv	0	to be disheartened; to be dejected; to be discouraged; to be disappointed; suddenly (losing a lot of weight); looking emaciated; becoming very thin
ゲップ		n	0	belch; burp; eructation
ゲラゲラ笑う	ゲラゲラわらう	exp, v5u	0	to guffaw; to roar with laughter; to laugh heartily
ゲロ		n, vs, vi, pref	0	vomit; spew; puke; vomiting; confessing; extremely; really; very much
げろげろ		adv, adv-to, int	0	throwing up; vomiting; croaking (of a frog); ribbit ribbit; gross!; yuck!
ゲンを担ぐ	げんをかつぐ	exp, v5g	0	to be superstitious
斯う	こう	adv, int	1	in this way; like this; so; thus; this (much); so; uh; er
こう言う	こういう	adj-pn	1	such; this sort of; like this
こうすると		exp	1	having done this; if this is done; if it is done in this way
こうすれば		exp	1	if you do this; if this is the case
こじ付ける	こじつける	v1, vt	0	to distort; to strain (an interpretation); to stretch (the meaning of a word)
こせこせ		adv, adv-to, vs	0	restlessly; fussily; anxiously; making a fuss over trifles; to be cramped; to be claustrophobic
こそ		prt	1	it is ... that ...; precisely; in particular; definitely; for sure; only (when, after, because, etc.); although; while
こそこそ		adv, adv-to, vs	1	sneakily; secretly; stealthily; on the sly
こそ泥	こそどろ	n	0	sneak thief; petty thief; cat burglar
炬燵掛け	こたつがけ	n	0	futon or cloth attached to the kotatsu's frame; cover for kotatsu
こたつ布団	こたつぶとん	n	0	quilt coverlet for a kotatsu; kotatsu quilt
こだま		n	0	Kodama; slowest Tōkaidō and Sanyō-line Shinkansen train service (stopping at all stations)
拘り	こだわり	n	0	obsession; fixation; hangup; determination; fastidiousness; pickiness about (trait, style, etc.); complaining; criticizing
拘る	こだわる	v5r, vi	1	to be obsessive (about); to be overly concerned (with); to fuss (over); to worry too much (about); to be picky (about); to be hung up (on); to stick to; to be particular (about)
此方	こちら	pn	1	this way; this direction; here; this (one); I; me; we; us
此方	こなた	n, pn	0	this way; here; the person in question; he; she; him; her; since (a time in the past)
此方こそ	こちらこそ	exp	0	it is I who should say so
こっそり		adv, adv-to	1	stealthily; secretly; in secret
コツコツ		adv-to, adv	1	steadily; unflaggingly; untiringly; laboriously; diligently; knocking; tapping; clicking
事がある	ことがある	exp, v5r-i	1	(for something) to have occurred; to have done (something); (for something) to happen on occasion
ことが出来る	ことができる	exp, v1	1	to be able (to); to be possible (to)
コトコト		adv, adv-to	0	with a rattling sound; with a (gentle) clinking sound; rapping (on a door); (cooking) at a simmer; (boiling) gently; (bubbling) lightly
悉く	ことごとく	adv	1	altogether; entirely
事にすると	ことにすると	exp	0	perhaps; maybe; possibly
事になる	ことになる	exp, v5r	1	to have been decided (so) that; to have been arranged (so) that; to be the result (of); to be the outcome; to be the reason (for)
事によって	ことによって	exp	1	via; through; by doing; by means of; using
此間	こないだ	n, adv	0	the other day; lately; recently
このおかげで		exp	0	because of this; thanks to this; due to this
このため		exp	1	because of this
この外	このほか	conj	1	besides; moreover; in addition
このような場合に	このようなばあいに	exp, adv	0	in this kind of situation
この間	このあいだ	n, adv	1	the other day; lately; recently; during this period; meanwhile; in the meantime
この結果	このけっか	exp	0	consequently; as a result
この頃	このごろ	adv, n	1	these days; nowadays; now; at present; recently; lately
この場合	このばあい	exp	0	in this case
この度	このたび	n, adv	0	this occasion; at this time; now
この辺	このへん	n	1	this area; around here; this point; this much; this extent
こぼし話	こぼしばなし	n	0	complaining
こら		int	0	hey!; hey!
此れから	これから	exp	1	from now on; after this; in the future; in future; from here; from this point
これで		exp	1	here; with this
これと同じ	これとおなじ	exp	0	the same as this
これ迄	これまで	exp, adj-no	1	so far; up to now; hitherto; that's enough (for today); it ends here
これ等	これら	pn	1	these
コロコロ		adv, adv-to, vs, n	1	(rolling) along; (rolling) over and over; with a bright, ringing sound (e.g. of a bell); (laughing) in a bright, high-pitched tone; merrily; (changing) frequently (of opinions, conversation topic, etc.); constantly; often; colocolo (Leopardus colocolo); pampas cat
ころり		adv-to, n	0	easily; effortlessly; suddenly; utterly; changing completely; plink (sound of something light falling or rolling)
コンコン		adv, adv-to, n	0	tap-tap; knock-knock; bang-bang; cough-cough; bark (of a fox); yelp; cry; heavily (e.g. of snow falling)
こんな		adj-pn	1	this sort of; this kind of; like this; such
こんなに		adv	1	so; like this; in this way; this much; to this extent
ごそごそ		adv, adv-to, vs	0	with a rustling sound; (rummaging) around
ゴタゴタ		n, vs, vi, adv	0	trouble; difficulties; dispute; quarrel; discord; dissension; confusion; disorder
ごちゃごちゃ		adj-na, adv, adv-to, vs	0	messy; confused; chaotic; disorderly; mixed-up; jumbled up; in a nagging manner; (complaining) about various things
ごっこ		suf	0	playing at (something); game of make-believe; something done together
ごった		adj-na	0	confusion; mess; mix; huddle
ごった返す	ごったがえす	v5s, vi	0	to be in confusion or commotion; to be in a turmoil; to be crowded or jammed with people
ゴボゴボ		adv, adv-to, vs	0	gurgling (e.g. of water); burbling; bubbling; glugging
誤魔化し	ごまかし	n, adj-no	0	cheating; deception; trickery; manipulation; juggling; falsifying; sham; camouflage
ゴミ入れ	ごみいれ	n	0	trashcan; rubbish bin; dustbin; ashcan
ゴミ箱	ごみばこ	n	1	trash can; garbage can; rubbish bin; dustbin
ゴロゴロ		adv, adv-to, vs, n	1	rumbling (of thunder, one's stomach, etc.); grumbling; growling; purring; rolling (of something large and heavy); tumbling; all over the place; everywhere
ご苦労様	ごくろうさま	exp, adj-na	1	thank you (for your hard work); I appreciate your efforts
ご苦労さん	ごくろうさん	exp	0	I appreciate your efforts
ご兄弟	ごきょうだい	n	0	siblings; brothers and sisters
ご心配なく	ごしんぱいなく	exp	0	don't worry; no worries; never mind
ご馳走様でした	ごちそうさまでした	exp	1	thank you for the meal; that was a delicious meal; what a wonderful meal
ご注意	ごちゅうい	n, vs	0	attention; notice; heed; care; caution; precaution; advice; warning
ご覧ください	ごらんください	exp	0	please look at it
さあ		int	1	come (on); come now; come along; here; all right; right; okay; now
さえ		prt	1	even; (if) only; just; as long as; besides; on top of that; what's more
サクサク		adv, adv-to, vs	0	crisp (not moist or juicy); crunchy; flaky (as in pastry); crunching sound (of walking on snow, frost, sand, etc.); doing skillfully and efficiently; doing quickly; proceeding smoothly; sound of pouring liquid
ささくれる		v1, vi	0	to split finely; to splinter; to get frayed; to become irritable
させる		v1, vt	1	to make (someone) do; to allow (someone) to do
させ子	させこ	n	0	easy girl; floozy
先	さっき	n, adv	1	a short while ago; a moment ago; just now; some time ago
さっさと		adv	1	quickly; promptly; immediately; without delay; without hesitation; briskly; hurriedly; hastily
颯と	さっと	adv	1	quickly (esp. actions); suddenly (esp. wind, rain, etc.)
さっぱり		adv, adv-to, vs, adj-na	1	feeling refreshed; feeling relieved; neat; tidy; clean; frank; open-hearted; plain
さて置く	さておく	v5k, vt	0	to set aside
さてさて		int	0	well!; huh; my, my
サバサバ		adv, adv-to, vs	0	relieved; refreshed; frank; candid; easy-going; laid-back
さめざめ		adv-to, adv	0	(weep) quietly; silently; (cry) bitterly
さもしい		adj-i	0	low; vulgar; base; ignoble; mean; selfish; self-seeking
サヨナラホームラン		n	0	game-ending home run
さらけ出す	さらけだす	v5s, vt	0	to expose; to disclose; to lay bare; to confess
さらさら		adv, adv-to, adj-no, vs	1	with a rustling sound; rippling (of a stream, etc.); murmuring; purling; slurping down (ochazuke); quickly and easily (e.g. write a letter); with ease; smoothly
さり気ない	さりげない	adj-i	0	nonchalant; unconcerned; in a casual manner
さん		suf	1	Mr; Mrs; Miss; Ms; -san; politeness marker
ザクザク		adv, adv-to, adj-na	0	walking on frost; crunching (e.g. on gravel); lots of coins or jewels; cutting into large pieces; loosely weaving; large (pieces, stitches, sand grains, etc.)
ざっくばらん		adj-na	0	frank; candid; outspoken; unreserved
ざっと		adv	1	roughly; approximately; round about; more or less; cursorily; briefly; quickly; lightly
ざまを見ろ	ざまをみろ	exp	0	serves you right!; see what happens!
ザラザラ		adv, adv-to, vs, adj-no	1	rough (touch, voice, etc.); coarse; gritty; sandy; granular; rattling (of beans, beads, etc.)
ざわざわ		adv, adv-to, vs	1	noisily (from many people talking); in a commotion; with a rustling sound (of leaves, branches, etc.); with a rippling sound (of the surface of a lake, etc.); feeling a chill; with a chill (up one's spine)
萎萎	しおしお	adv, adv-to, vs	0	dejectedly; in low spirits; downheartedly
しか		prt	1	nothing but; except; no more than
しがみ付く	しがみつく	v5k, vi	0	to cling
頻りに	しきりに	adv	1	frequently; repeatedly; often; incessantly; constantly; eagerly; keenly; strongly
しくしく泣く	しくしくなく	exp, v5k	0	to cry softly; to sob; to weep
しくじる		v5r, vi	1	to fail; to blunder; to mess up; to screw up; to be dismissed; to be fired
繁々	しげしげ	adv-to	0	frequently; often; (staring) fixedly; narrowly; closely; steadily
しっくり		adv-to, vs	0	exactly; nicely; to a tee; to be fitting
執拗い	しつこい	adj-i	1	insistent; obstinate; persistent; tenacious; too rich (taste, etc.); fatty; heavy; greasy
しとしと		adv, adv-to, vs, adj-na	1	gently (raining); drizzling; moist; damp
屡々	しばしば	adv	1	often; again and again; frequently; repeatedly
しぶとい		adj-i	0	tenacious; tough; enduring; dogged; headstrong; stubborn; obstinate; unyielding
仕舞った	しまった	int	1	darn it!; darn!; oops!; oh dear!; oh no!
沁み沁み	しみじみ	adv, adv-to	1	keenly; deeply; fully; heartily; seriously; earnestly; calmly; quietly
しゃあしゃあ		adv, adv-to, vs	0	shamelessly; brazenly; coolly; fast flowing (of water)
しゃがむ		v5m, vi	1	to squat; to crouch
しゃきしゃき		adv, adv-to, vs	0	crisp; crunchy; precise; clipped; brisk
吃逆	しゃっくり	n, vs, vi	1	hiccup; hiccough
しゃぶしゃぶ		n	1	shabu-shabu; hot pot dish where thinly sliced meat is boiled quickly and then dipped in sauce
しゃぶる		v5r, vt	0	to suck; to lick
喋り	しゃべり	n	0	talk; chat
しゃり		n	0	sushi rice; rice seasoned with vinegar, sugar and salt
し易い	しやすい	adj-i	0	easy to do; apt to do; prone to do; liable to do
しょっちゅう		adv	1	always; all the time; constantly; frequently; often
小便をする	しょうべんをする	exp, vs-i	0	to urinate; to pee; to piss
小便を垂れる	しょんべんをたれる	exp, v1	0	to pee; to piss
しょんぼり		adv, adv-to, vs	1	downheartedly; dejectedly; dispiritedly; despondently
白口	しろぐち	n	0	silver white croaker (Pennahia argentata); silver croaker; white croaker
嗄れる	しゃがれる	v1, vi	0	to become hoarse; to become husky
涔々	しんしん	adv-to, adj-t	0	falling heavily (of rain, snow, etc.)
しんどい		adj-i	1	tired; frazzled; tiresome; tiring; draining; bothersome; worrisome
しんねり		adv, adv-to, vs	0	persistently; slowly; hesitantly; irresolutely
しんみり		adv, adv-to, vs	0	quietly; softly; seriously; intimately; heart-to-heart; solemnly; sadly
繁吹く	しぶく	v5k, vi	0	to splash; to spray
じくじく		adv, adv-to, vs	0	oozing; damp; sodden
ジタバタ		adv, adv-to, vs	0	(kicking and) struggling; wriggling; floundering; flailing; to get into a panic; to make a fuss; to make a scene
