医	doctor; medicine	い	い.やす・い.する・くすし	N4	3	7
君	mister; you; ruler; male name suffix	くん	きみ・-ぎみ	N3	3	7
坂	slope; incline; hill	はん	さか	N2	3	7
対	vis-a-vis; opposite; even; equal	たい・つい	あいて・こた.える・そろ.い・つれあ.い・なら.ぶ・むか.う	N3	3	7
局	bureau; board; office; affair	きょく	つぼね	N3	3	7
役	duty; war; campaign; drafted labor	やく・えき		N3	3	7
投	throw; discard; abandon; launch into	とう	な.げる・-な.げ	N3	3	7
決	decide; fix; agree upon; appoint	けつ	き.める・-ぎ.め・き.まる・さ.く	N3	3	7
究	research; study	きゅう・く	きわ.める	N4	3	7
豆	beans; pea; midget	とう・ず	まめ・まめ-	N1	3	7
身	somebody; person; one's station in life	しん	み		3	7
返	return; answer; fade; repay	へん	かえ.す・-かえ.す・かえ.る・-かえ.る	N3	3	7
事	matter; thing; fact; business	じ・ず	こと・つか.う・つか.える	N4	3	8
使	use; send on a mission; order; messenger	し	つか.う・つか.い・-つか.い・-づか.い	N4	3	8
具	tool; utensil; means; possess	ぐ	そな.える・つぶさ.に	N3	3	8
取	take; fetch; take up	しゅ	と.る・と.り・と.り-・とり・-ど.り	N3	3	8
受	accept; undergo; answer (phone); take	じゅ	う.ける・-う.け・う.かる	N3	3	8
味	flavor; taste	み	あじ・あじ.わう	N4	3	8
命	fate; command; decree; destiny	めい・みょう	いのち	N3	3	8
和	harmony; japanese style; peace; soften	わ・お・か	やわ.らぐ・やわ.らげる・なご.む・なご.やか・あ.える	N3	3	8
始	commence; begin	し	はじ.める・-はじ.める・はじ.まる	N4	3	8
委	committee; entrust to; leave to; devote	い	ゆだ.ねる	N2	3	8
定	determine; fix; establish; decide	てい・じょう	さだ.める・さだ.まる・さだ.か	N3	3	8
実	reality; truth	じつ・しつ	み・みの.る・まこと・みの・みち.る	N3	3	8
岸	beach	がん	きし	N2	3	8
幸	happiness; blessing; fortune	こう	さいわ.い・さち・しあわ.せ	N3	3	8
所	place; extent	しょ	ところ・-ところ・どころ・とこ	N3	3	8
